x,y
0.9928755175,-0.1031384359
0.9927821716,-0.1031013712
0.9925021679,-0.1029902096
0.9920356081,-0.1028050478
0.9913826619,-0.1025460474
0.9905435666,-0.1022134336
0.9895186276,-0.1018074956
0.9883082176,-0.1013285854
0.9869127773,-0.1007771175
0.9853328148,-0.1001535678
0.9835689056,-0.0994584729
0.9816216927,-0.0986924291
0.9794918863,-0.0978560908
0.9771802637,-0.0969501700
0.9746876692,-0.0959754341
0.9720150137,-0.0949327052
0.9691632748,-0.0938228584
0.9661334965,-0.0926468201
0.9629267890,-0.0914055663
0.9595443281,-0.0901001213
0.9559873557,-0.0887315556
0.9522571785,-0.0873009845
0.9483551686,-0.0858095656
0.9442827625,-0.0842584980
0.9400414612,-0.0826490197
0.9356328295,-0.0809824058
0.9310584957,-0.0792599671
0.9263201510,-0.0774830480
0.9214195495,-0.0756530245
0.9163585068,-0.0737713027
0.9111389005,-0.0718393170
0.9057626689,-0.0698585283
0.9002318107,-0.0678304222
0.8945483842,-0.0657565075
0.8887145069,-0.0636383146
0.8827323545,-0.0614773940
0.8766041604,-0.0592753146
0.8703322148,-0.0570336624
0.8639188642,-0.0547540393
0.8573665100,-0.0524380616
0.8506776083,-0.0500873588
0.8438546686,-0.0477035724
0.8369002529,-0.0452883550
0.8298169750,-0.0428433689
0.8226074995,-0.0403702855
0.8152745403,-0.0378707843
0.8078208603,-0.0353465517
0.8002492697,-0.0327992809
0.7925626256,-0.0302306702
0.7847638301,-0.0276424235
0.7768558297,-0.0250362485
0.7688416140,-0.0224138568
0.7607242144,-0.0197769631
0.7525067033,-0.0171272849
0.7441921924,-0.0144665415
0.7357838315,-0.0117964540
0.7272848076,-0.0091187447
0.7186983433,-0.0064351365
0.7100276958,-0.0037473524
0.7012761552,-0.0010571153
0.6924470436,0.0016338527
0.6835437135,0.0043238305
0.6745695465,0.0070110990
0.6655279522,0.0096939411
0.6564223666,0.0123706426
0.6472562506,0.0150394929
0.6380330892,0.0176987850
0.6287563896,0.0203468171
0.6194296802,0.0229818925
0.6100565090,0.0256023210
0.6006404422,0.0282064194
0.5911850633,0.0307925124
0.5816939712,0.0333589338
0.5721707790,0.0359040272
0.5626191128,0.0384261476
0.5530426104,0.0409236617
0.5434449197,0.0433949501
0.5338296974,0.0458384079
0.5242006079,0.0482524461
0.5145613219,0.0506354932
0.5049155150,0.0529859967
0.4952668663,0.0553024243
0.4856190572,0.0575832658
0.4759757704,0.0598270342
0.4663406882,0.0620322681
0.4567174911,0.0641975325
0.4471098571,0.0663214212
0.4375214601,0.0684025582
0.4279559684,0.0704395995
0.4184170439,0.0724312347
0.4089083406,0.0743761893
0.3994335032,0.0762732256
0.3899961663,0.0781211453
0.3805999526,0.0799187905
0.3712484723,0.0816650460
0.3619453212,0.0833588405
0.3526940798,0.0849991483
0.3434983124,0.0865849913
0.3343615649,0.0881154396
0.3252873648,0.0895896137
0.3162792188,0.0910066857
0.3073406123,0.0923658801
0.2984750082,0.0936664756
0.2896858449,0.0949078056
0.2809765360,0.0960892594
0.2723504684,0.0972102831
0.2638110012,0.0982703801
0.2553614647,0.0992691118
0.2470051588,0.1002060980
0.2387453518,0.1010810171
0.2305852793,0.1018936060
0.2225281445,0.1026436727
0.2145770940,0.1033309349
0.2067352063,0.1039549411
0.1989931517,0.1044272815
0.1913541300,0.1047490349
0.1838217691,0.1049246699
0.1763996555,0.1049587142
0.1690913351,0.1048557688
0.1619003115,0.1046205023
0.1548300439,0.1042576460
0.1478839457,0.1037719891
0.1410653822,0.1031683734
0.1343776695,0.1024516882
0.1278240719,0.1016268645
0.1214078008,0.1006988702
0.1151320126,0.0996727037
0.1089998069,0.0985533886
0.1030142251,0.0973459682
0.0971782481,0.0960554989
0.0914947952,0.0946870443
0.0859667219,0.0932456699
0.0805968183,0.0917364366
0.0753878080,0.0901643950
0.0703423456,0.0885345801
0.0654630163,0.0868520063
0.0607523336,0.0851216625
0.0562127386,0.0833485078
0.0518465986,0.0815374696
0.0476562071,0.0796934457
0.0436437818,0.0778212960
0.0398114669,0.0759258629
0.0361613307,0.0740119583
0.0326953714,0.0720844072
0.0294155186,0.0701480650
0.0263236211,0.0682077321
0.0234215090,0.0662685993
0.0207110029,0.0643363165
0.0181932501,0.0624122724
0.0158722311,0.0605185478
0.0137460314,0.0586358116
0.0118051323,0.0566911642
0.0101568452,0.0554435337
0.0084585306,0.0524508221
0.0071128201,0.0505743528
0.0066900370,0.0538691812
0.0058134015,0.0525365500
0.0040946160,0.0438116628
0.0027989770,0.0366962038
0.0024329828,0.0347932752
0.0025048217,0.0346031804
0.0027222802,0.0340469858
0.0030909997,0.0331656543
0.0036197711,0.0320231045
0.0043196208,0.0306997074
0.0052025378,0.0292832300
0.0062798494,0.0278572754
0.0075602535,0.0264872822
0.0090475190,0.0252041586
0.0107378767,0.0239857183
0.0126236142,0.0227822538
0.0147067760,0.0216140223
0.0169886290,0.0204962798
0.0194670293,0.0194205462
0.0221412080,0.0183886559
0.0250099503,0.0173997942
0.0280718774,0.0164525073
0.0313255030,0.0155450927
0.0347692098,0.0146754355
0.0384012638,0.0138411023
0.0422198164,0.0130393550
0.0462229100,0.0122671842
0.0504084813,0.0115213288
0.0547743628,0.0107982851
0.0593182863,0.0100943219
0.0640378845,0.0094054934
0.0689306937,0.0087276464
0.0739941551,0.0080564305
0.0792256172,0.0073873067
0.0846223380,0.0067155559
0.0901814863,0.0060362875
0.0959001446,0.0053444481
0.1017753105,0.0046348304
0.1078038995,0.0039020827
0.1139827467,0.0031407184
0.1203086098,0.0023451270
0.1267781712,0.0015095845
0.1333880407,0.0006282656
0.1401347583,-0.0003047442
0.1470147972,-0.0012954352
0.1540245667,-0.0023498591
0.1611604152,-0.0034741150
0.1684186338,-0.0046743326
0.1757954597,-0.0059566563
0.1832870797,-0.0073272276
0.1908896343,-0.0087921619
0.1985997971,-0.0103534400
0.2064302309,-0.0118989340
0.2143777894,-0.0134286772
0.2224393255,-0.0149423889
0.2306116117,-0.0164400509
0.2388913758,-0.0179216603
0.2472753000,-0.0193872476
0.2557600222,-0.0208368753
0.2643421375,-0.0222706364
0.2730181996,-0.0236886530
0.2817847229,-0.0250910749
0.2906381833,-0.0264780779
0.2995750203,-0.0278498619
0.3085916388,-0.0292066490
0.3176844103,-0.0305486818
0.3268496747,-0.0318762213
0.3360837423,-0.0331895446
0.3453828953,-0.0344889430
0.3547433896,-0.0357747198
0.3641614564,-0.0370471882
0.3736333041,-0.0383066686
0.3831551203,-0.0395534874
0.3927230730,-0.0407879737
0.4023333129,-0.0420104580
0.4119819750,-0.0432212697
0.4216651803,-0.0444207351
0.4313790377,-0.0456091753
0.4411196457,-0.0467869046
0.4508830942,-0.0479542281
0.4606654663,-0.0491114404
0.4704628400,-0.0502588237
0.4802712898,-0.0513966463
0.4900868888,-0.0525251611
0.4999057100,-0.0536446040
0.5097238283,-0.0547551933
0.5195373219,-0.0558571277
0.5293422743,-0.0569505860
0.5391347754,-0.0580357262
0.5489109240,-0.0591126843
0.5586668284,-0.0601815741
0.5683986086,-0.0612424866
0.5781023978,-0.0622954896
0.5877743438,-0.0633406278
0.5974106105,-0.0643779222
0.6070073794,-0.0654073708
0.6165608511,-0.0664289481
0.6260672470,-0.0674426060
0.6355228102,-0.0684482736
0.6449238072,-0.0694458582
0.6542665294,-0.0704352459
0.6635472942,-0.0714163019
0.6727624463,-0.0723888718
0.6819083594,-0.0733527819
0.6909814371,-0.0743078409
0.6999781143,-0.0752538403
0.7088948584,-0.0761905558
0.7177281708,-0.0771177484
0.7264745877,-0.0780351656
0.7351306814,-0.0789425424
0.7436930618,-0.0798396031
